Hour,Clicks,Impressions,Avg. CPC,Cost
12 am – 1 am,3,37,$0.55,$1.66
1 am – 2 am,1,30,$0.79,$0.79
2 am – 3 am,3,36,$0.80,$2.41
3 am – 4 am,2,9,$0.63,$1.26
4 am – 5 am,1,6,$0.62,$0.62
5 am – 6 am,0,6,$0.00,$0.00
6 am – 7 am,0,5,$0.00,$0.00
7 am – 8 am,0,4,$0.00,$0.00
8 am – 9 am,1,12,$0.30,$0.30
9 am – 10 am,0,21,$0.00,$0.00
10 am – 11 am,1,22,$0.68,$0.68
11 am – 12 pm,2,16,$0.51,$1.02
12 pm – 1 pm,1,28,$0.37,$0.37
1 pm – 2 pm,0,26,$0.00,$0.00
2 pm – 3 pm,2,30,$0.74,$1.48
3 pm – 4 pm,3,48,$0.68,$2.05
4 pm – 5 pm,4,25,$0.65,$2.60
5 pm – 6 pm,1,34,$0.72,$0.72
6 pm – 7 pm,0,30,$0.00,$0.00
7 pm – 8 pm,4,36,$0.76,$3.05
8 pm – 9 pm,2,7,$0.68,$1.36
9 pm – 10 pm,0,0,$0.00,$0.00
10 pm – 11 pm,0,0,$0.00,$0.00
11 pm – 12 am,0,0,$0.00,$0.00
