Hour,Clicks,Impressions,Avg. CPC,Cost
12 am – 1 am,0,3,$0.00,$0.00
1 am – 2 am,0,1,$0.00,$0.00
2 am – 3 am,0,3,$0.00,$0.00
3 am – 4 am,0,2,$0.00,$0.00
4 am – 5 am,0,3,$0.00,$0.00
5 am – 6 am,0,4,$0.00,$0.00
6 am – 7 am,0,2,$0.00,$0.00
7 am – 8 am,0,9,$0.00,$0.00
8 am – 9 am,0,26,$0.00,$0.00
9 am – 10 am,0,98,$0.00,$0.00
10 am – 11 am,0,115,$0.00,$0.00
11 am – 12 pm,0,140,$0.00,$0.00
12 pm – 1 pm,1,57,$1.01,$1.01
1 pm – 2 pm,0,96,$0.00,$0.00
2 pm – 3 pm,0,115,$0.00,$0.00
3 pm – 4 pm,0,106,$0.00,$0.00
4 pm – 5 pm,0,105,$0.00,$0.00
5 pm – 6 pm,0,130,$0.00,$0.00
6 pm – 7 pm,0,92,$0.00,$0.00
7 pm – 8 pm,0,73,$0.00,$0.00
8 pm – 9 pm,0,92,$0.00,$0.00
9 pm – 10 pm,0,125,$0.00,$0.00
10 pm – 11 pm,0,94,$0.00,$0.00
11 pm – 12 am,0,72,$0.00,$0.00
