Hour,Clicks,Impressions,Avg. CPC,Cost
12 am – 1 am,56,"1,008",$0.30,$16.58
1 am – 2 am,44,430,$0.24,$10.62
2 am – 3 am,0,4,$0.00,$0.00
3 am – 4 am,1,8,$0.07,$0.07
4 am – 5 am,0,1,$0.00,$0.00
5 am – 6 am,1,3,$0.17,$0.17
6 am – 7 am,0,6,$0.00,$0.00
7 am – 8 am,0,5,$0.00,$0.00
8 am – 9 am,0,2,$0.00,$0.00
9 am – 10 am,2,11,$0.18,$0.37
10 am – 11 am,0,3,$0.00,$0.00
11 am – 12 pm,0,0,$0.00,$0.00
12 pm – 1 pm,0,0,$0.00,$0.00
1 pm – 2 pm,1,5,$0.12,$0.12
2 pm – 3 pm,0,4,$0.00,$0.00
3 pm – 4 pm,1,7,$0.08,$0.08
4 pm – 5 pm,5,36,$0.15,$0.77
5 pm – 6 pm,1,55,$0.18,$0.18
6 pm – 7 pm,9,57,$0.21,$1.92
7 pm – 8 pm,5,50,$0.19,$0.97
8 pm – 9 pm,0,0,$0.00,$0.00
9 pm – 10 pm,0,0,$0.00,$0.00
10 pm – 11 pm,0,0,$0.00,$0.00
11 pm – 12 am,0,0,$0.00,$0.00
